Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Fe2_Bi2,p,1300.0,1e+20,96.61037080994936,96103.50997046649,11.325915634993029,0.10295721293670736
HfCr_Fe2_Sb2,n,100.0,-1e+16,901.3921735978633,2.122950385767393,3.832813496783919e-06,45.00385568897401
HfCr_Fe2_Sb2,n,200.0,-1e+18,602.4964291876031,198.34125436941738,0.0011542887219474832,12.474913801722835
HfCr_Fe2_Sb2,n,300.0,-1e+19,463.93683830086053,1854.6983247075823,0.019575927964247578,6.117724185308126
HfCr_Fe2_Sb2,n,400.0,-1e+20,325.128047824417,16920.109093275936,0.14467202819637767,4.945240905943707
HfCr_Fe2_Sb2,n,500.0,-1e+20,339.4863717996107,16479.80274792401,0.27796093575036157,3.4165119029461994
HfCr_Fe2_Sb2,n,600.0,-1e+20,310.6217623893961,17387.220489162355,0.7089718880938761,1.4197639865242875
HfCr_Fe2_Sb2,n,700.0,-1e+20,241.9922264268068,20788.751281332505,1.5733512207082985,0.5416310990422467
HfCr_Fe2_Sb2,n,800.0,-1e+20,172.121557929883,27130.87693757001,2.77430237705862,0.23177711951107138
HfCr_Fe2_Sb2,n,900.0,-1e+20,124.40440209633516,36060.5883249439,4.185845324176079,0.11999513474708587
HfCr_Fe2_Sb2,n,1000.0,-1e+20,96.60756069105685,46941.15905870672,5.762706321157027,0.07602379657095885
HfCr_Fe2_Sb2,n,1100.0,-1e+20,81.27782155755504,59239.52468538397,7.482345142945963,0.05753215250652353
HfCr_Fe2_Sb2,n,1200.0,-1e+20,73.41372581836957,72566.76956203266,9.31880599941384,0.05036319766372365
HfCr_Fe2_Sb2,n,1300.0,-1e+20,69.65680685234453,86605.84099554022,11.244853013066171,0.048580712133135445
HfCr_Fe2_Sb2,p,100.0,1e+16,901.3921735978633,2.122950385767393,3.832813496783919e-06,45.00385568897401
HfCr_Fe2_Sb2,p,200.0,1e+18,602.4964291876031,198.34125436941738,0.0011542887219474832,12.474913801722835
HfCr_Fe2_Sb2,p,300.0,1e+19,463.93683830086053,1854.6983247075823,0.019575927964247578,6.117724185308126
HfCr_Fe2_Sb2,p,400.0,1e+20,325.128047824417,16920.109093275936,0.14467202819637767,4.945240905943707
HfCr_Fe2_Sb2,p,500.0,1e+20,339.4863717996107,16479.80274792401,0.27796093575036157,3.4165119029461994
HfCr_Fe2_Sb2,p,600.0,1e+20,310.6217623893961,17387.220489162355,0.7089718880938761,1.4197639865242875
HfCr_Fe2_Sb2,p,700.0,1e+20,241.9922264268068,20788.751281332505,1.5733512207082985,0.5416310990422467
HfCr_Fe2_Sb2,p,800.0,1e+20,172.121557929883,27130.87693757001,2.77430237705862,0.23177711951107138
HfCr_Fe2_Sb2,p,900.0,1e+20,124.40440209633516,36060.5883249439,4.185845324176079,0.11999513474708587
HfCr_Fe2_Sb2,p,1000.0,1e+20,96.60756069105685,46941.15905870672,5.762706321157027,0.07602379657095885
HfCr_Fe2_Sb2,p,1100.0,1e+20,81.27782155755504,59239.52468538397,7.482345142945963,0.05753215250652353
HfCr_Fe2_Sb2,p,1200.0,1e+20,73.41372581836957,72566.76956203266,9.31880599941384,0.05036319766372365
HfCr_Fe2_Sb2,p,1300.0,1e+20,69.65680685234453,86605.84099554022,11.244853013066171,0.048580712133135445
