Alloy,Doping type,Temperature (K),Doping (cm⁻³),S (µV/K),sigma (S/m),kappa_e (W/(m·K)),ZT_e (-)
HfCr_Ir2_Ge2,n,700.0,1e+20,-96.78290084017158,41476.93363317052,2.2586795667100104,0.1204057781061367
HfCr_Ir2_Ge2,n,800.0,1e+20,-62.7092783707998,51162.00893714233,3.6710352084752516,0.043844248716702366
HfCr_Ir2_Ge2,n,900.0,1e+20,-35.32378226113454,63396.75115829555,5.363699467535231,0.013273317231032929
HfCr_Ir2_Ge2,n,1000.0,1e+16,28.606318412177377,74770.42145622183,7.610665701965741,0.008039538501745958
HfCr_Ir2_Ge2,n,1100.0,1e+16,31.722872576683468,91130.00539716046,9.624433155717268,0.010481511957185927
HfCr_Ir2_Ge2,n,1200.0,1e+16,34.65889910351326,108199.67973306315,11.773668796082497,0.0132472256586723
HfCr_Ir2_Ge2,n,1300.0,1e+16,37.07599806391202,125723.57242220831,14.021019489781416,0.01602382428432373
HfCr_Ir2_Ge2,p,100.0,1e+18,477.78612692767956,274.24649092328735,0.000509049062808587,12.298396988486417
HfCr_Ir2_Ge2,p,200.0,1e+19,366.9189385275707,2499.3348009146966,0.01401989570152995,4.800095811890635
HfCr_Ir2_Ge2,p,300.0,1e+20,246.2246721550333,21253.244194489085,0.1441102053282287,2.6823465448706036
HfCr_Ir2_Ge2,p,400.0,1e+20,274.7004544423216,20364.205289936766,0.3004748543469092,2.0456817947644064
HfCr_Ir2_Ge2,p,500.0,1e+20,256.41529265165354,21870.366898737844,0.7493492837918643,0.9594660732178504
HfCr_Ir2_Ge2,p,600.0,1e+20,202.74420247414582,26805.868087887604,1.5919951945048147,0.41527545485044104
HfCr_Ir2_Ge2,p,700.0,1e+20,149.10429280067717,35180.2235067736,2.7642035541236503,0.19806462121058446
HfCr_Ir2_Ge2,p,800.0,1e+20,111.41020957666382,46441.068192406594,4.196786495047203,0.10988168082421411
HfCr_Ir2_Ge2,p,900.0,1e+20,87.74698792593212,59908.04541831118,5.855944604227806,0.07089165821138536
HfCr_Ir2_Ge2,p,1000.0,1e+20,73.26612752796413,75019.02567568088,7.710542055206147,0.05222674797000156
HfCr_Ir2_Ge2,p,1100.0,1e+20,64.59614229304877,91323.82302383223,9.725898460027517,0.04309830624729949
HfCr_Ir2_Ge2,p,1200.0,1e+20,59.02243382429729,108424.03549518863,11.867404323603985,0.038193134503860825
HfCr_Ir2_Ge2,p,1300.0,1e+20,55.72346925643686,126025.80432034435,14.103845180205115,0.03606962210777901
HfCr_Ir2_Sn2,n,100.0,1e+16,-687.9895276842827,4.780734708234491,1.3915641264329789e-05,16.261293010761115
HfCr_Ir2_Sn2,n,200.0,1e+18,-351.62475731719195,474.00028675057393,0.004966826034467094,2.3598725144553865
HfCr_Ir2_Sn2,n,300.0,1e+19,-231.21931205327277,4207.1845901980205,0.04534859371412155,1.4879803887071994
HfCr_Ir2_Sn2,n,400.0,1e+20,-132.42800656186492,30852.12069750131,0.28875744190540414,0.7494997815733029
